episode,reward,length
0,-192.75043094158173,178
1,-138.67766668950208,335
2,-173.7554114162922,191
3,-157.89184221625328,220
4,-323.19439765810966,348
5,-241.75272887945175,277
6,-203.74968323111534,205
7,-176.774378657341,234
8,-195.13293927907944,245
9,-152.16047678887844,261
10,-183.63796046376228,217
11,-167.6301885843277,186
12,-166.5532495379448,230
13,-164.41946583986282,200
14,-179.31486013531685,234
15,-162.7344913482666,222
16,-257.26762583851814,268
17,-82.62186124655086,125
18,-242.51545223593712,246
19,-179.92104995250702,177
20,-63.04497299580672,54
21,-88.7332034158888,76
22,-266.99065697193146,265
23,-168.877329736948,203
24,-95.41740560049377,108
25,-110.03956290081572,157
26,-303.6555077433586,389
27,-192.75282987952232,219
28,-181.40507471561432,188
29,-182.36023807525635,203
30,-306.2192436158657,374
31,-67.7965547488337,72
32,-79.30386839940198,46
33,-197.77692937850952,186
34,-279.8650569319725,275
35,-137.40466263890266,189
36,-91.0321909041634,106
37,-156.7844361513853,281
38,21.55080003477633,274
39,-188.97368869185448,169
40,-100.86650721438522,169
41,-240.08622527122498,208
42,-166.0406194627285,228
43,-180.51751935482025,206
44,-175.793394446373,169
45,-156.8024600893259,313
46,-207.00499364733696,222
47,-202.36908388137817,274
48,-305.02979934215546,262
49,-77.73149454513292,97
50,-369.54962062835693,289
51,-100.38463417005845,112
52,-229.26895064115524,228
53,-129.28612276213343,239
54,-176.69083355367184,296
55,-71.88067908957822,47
56,-179.86364528536797,219
57,-244.83320650458336,263
58,-229.7640085220337,239
59,-175.05722266435623,187
60,-158.75949987769127,227
61,-73.65588282986397,57
62,-101.23458987708722,140
63,-98.01704627182085,100
64,-87.94316308042114,92
65,-227.30112800002098,254
66,-217.3865004181862,256
67,-104.3275304092574,125
68,-300.9515663385391,329
69,-180.51958614587784,171
70,-322.40832915228066,500
71,-168.50746899843216,215
72,-191.42113640904427,249
73,-124.77080026268959,211
74,-199.18725752830505,185
75,-71.24646732210338,85
76,-204.39278507232666,189
77,-228.03861746191978,263
78,-273.71878004074097,285
79,-210.68504771590233,277
80,-147.8058489561081,207
81,-145.97082129120827,273
82,-221.03296393156052,223
83,-181.57266226410866,220
84,-332.4558592736721,500
85,-193.95991972088814,260
86,-168.78161305189133,287
87,-144.49576715309854,240
88,-176.76642858982086,271
89,-78.10072645323417,76
90,-193.24564635753632,184
91,-153.21996253728867,229
92,-320.66000524163246,349
93,-136.24360248446465,248
94,-182.35615038871765,223
95,-158.60323882102966,193
96,-180.85105276107788,220
97,6.159102963879079,226
98,-148.65515534334946,194
99,-213.80175533890724,244
